#,Investor Name,HQ Country,HQ City,Latitude,Longitude,Closest FUA
1,Plus Impact,Sweden,Stockholm,59.3251172,18.0710935,Stockholm
2,1Kubator,France,Lyon,45.7578137,4.8320114,Lyon
3,5starts,Austria,Vienna,48.2083537,16.3725042,Wien
4,21st by CentraleSupélec,France,Gif-Sur-Yvette,48.7018823,2.134529,Paris
5,70Ventures,Lithuania,Vilnius,54.6870458,25.2829111,Vilnius
6,321founded,France,Paris,48.8534951,2.3483915,Paris
7,A1 Start Up Campus,Austria,Vienna,48.2083537,16.3725042,Wien
8,Accelerace,Denmark,Copenhagen,55.6867243,12.5700724,København
9,AccelGrow,Spain,Barcelona,41.3828939,2.1774322,Barcelona
10,Accelpoint,Poland,Warsaw,52.2319581,21.0067249,Warszawa
11,Acciona I'mnovation,Spain,Alcobendas,40.5400082,-3.6358494,Madrid
12,Acciona Imnovation,Spain,Madrid,40.4167047,-3.7035825,Madrid
14,Agoranov,France,Paris,48.8534951,2.3483915,Paris
15,Agro Innovation Lab,Austria,Gemeinde Wien,48.294579,16.4679227,Wien
16,AgTechUCD Agccelerator Pr…,Ireland,Dublin,53.3493795,-6.2605593,Dublin
17,Airbus Bizlabs,France,Colomiers,43.6121001,1.3282149,Toulouse
18,Airbus Bizlabs (closed),France,Colomiers,43.6121001,1.3282149,Toulouse
19,Alhambra Venture,Spain,Peligros,37.2306631,-3.6279744,Granada
20,Antai Venture Builder,Spain,Barcelona,41.3828939,2.1774322,Barcelona
21,Antai Ventures,Spain,Barcelona,41.3828939,2.1774322,Barcelona
22,Arctic Business Incubator,Sweden,Lulea,65.5831187,22.1459535,Oulu/Uleåborg
23,Arete Investment,Hungary,Budapest,47.4978789,19.0402383,Budapest
24,Arkley Launchpad,Poland,Warsaw,52.2319581,21.0067249,Warszawa
25,Astropreneurs,Portugal,Coimbra,40.2111931,-8.4294632,Coimbra
26,Axel Springer Plug and Play …,Germany,Berlin,52.510885,13.3989367,Berlin
27,Axeltim,France,Lyon,45.7578137,4.8320114,Lyon
28,B Accelerator Tower (BAT),Spain,Bilbao,43.2630018,-2.9350039,Bilbao
29,B4i - Bocconi for innovation,Italy,Milan,45.4641943,9.1896346,Milano
30,Baltic Sandbox,Lithuania,Vilnius,54.6870458,25.2829111,Vilnius
31,Bar Lab by Mahou San Miguel,Spain,Madrid,40.4167047,-3.7035825,Madrid
32,Basque Culinary Center - Cu…,Spain,San Sebastian,43.3224219,-1.9838889,San Sebastián/Donostia
33,BBVA Spark,Spain,Madrid,40.4167047,-3.7035825,Madrid
34,BEAZ,Spain,Bilbao,43.2630018,-2.9350039,Bilbao
35,"Berkeley SkyDeck Europe, M…",Italy,Milan,45.4641943,9.1896346,Milano
36,Berlin Founders Fund by Sili…,Germany,Berlin,52.510885,13.3989367,Berlin
37,Berlin Innovation Agency,Germany,Berlin,52.510885,13.3989367,Berlin
38,BerriUp,Spain,San Sebastian,43.3224219,-1.9838889,San Sebastián/Donostia
40,Beta-i,Portugal,Lisbon,38.7077507,-9.1365919,Lisboa
41,Beuth Hochschule Startup h…,Germany,Berlin,52.510885,13.3989367,Berlin
42,BIC Araba,Spain,Vitoria,42.8465088,-2.6724025,Vitoria/Gasteiz
43,BIC Bizkaia,Spain,Bilbao,43.2630018,-2.9350039,Bilbao
44,BIC Gipuzkoa,Spain,San Sebastian,43.3224219,-1.9838889,San Sebastián/Donostia
45,BIC Innov'up,France,Nimes,43.8374249,4.3600687,Nîmes
46,BIND - Basque Open Innova…,Spain,Bilbao,43.2630018,-2.9350039,Bilbao
47,BIND 4.0 - Basque Open Inn…,Spain,Bilbao,43.2630018,-2.9350039,Bilbao
48,BIO HUB VLC,Spain,Valencia,39.4697065,-0.3763353,Valencia
49,BiovelocITA,Italy,Milan,45.4641943,9.1896346,Milano
50,Birdhouse,Belgium,Antwerp,51.2211097,4.3997081,Antwerpen
51,Bitspiration Booster,Poland,Kraków,50.0619474,19.9368564,Kraków
52,Blockchers,Spain,Navarra,42.6125488,-1.8307877,Pamplona/Iruña
54,BlueHealth Innovation Center,Belgium,Winterslag,50.9771632,5.4858516,Maastricht
55,Borean Innovation,Denmark,Aalborg,57.0462626,9.9215263,Aalborg
56,Bosch Startup Harbour,Germany,Berlin,52.510885,13.3989367,Berlin
58,BSH Accelerator,Germany,Munich,48.1371079,11.5753822,München
59,Building Global Innovators,Portugal,Lisbon,38.7077507,-9.1365919,Lisboa
60,Buildit Accelerator,Latvia,Riga,56.9493977,24.1051846,Riga
61,Built Environment Circular C…,Germany,Berlin,52.510885,13.3989367,Berlin
62,Caixabank DayOne,Spain,Madrid,40.4167047,-3.7035825,Madrid
63,CaixaImpulse,Spain,Barcelona,41.3828939,2.1774322,Barcelona
64,CapsuleT Travel & Hospitalit…,Greece,Athens,37.9755648,23.7348324,Athina
66,Cariplo Factory,Italy,Milan,45.4641943,9.1896346,Milano
67,Casa do Impacto,Portugal,Lisbon,38.7077507,-9.1365919,Lisboa
68,Cassini Business Accelerator,Belgium,Brussels,50.8465573,4.351697,Mechelen
69,CDP- Acceleratore Imprese,Italy,Anzio,41.4471008,12.6285618,Latina
70,CEEI NCA,France,Nice,43.7009358,7.2683912,Nice
71,Centre for Entrepreneurship…,Germany,Berlin,52.510885,13.3989367,Berlin
72,CESAH,Germany,Darmstadt,49.8851869,8.6736295,Darmstadt
73,Cesah,Germany,Darmstadt,49.8851869,8.6736295,Darmstadt
74,cesah GmbH,Germany,Darmstadt,49.8851869,8.6736295,Darmstadt
75,Chemovator,Germany,Mannheim,49.4892913,8.4673098,Mannheim-Ludwigshafen
77,Club Acceleratori,Italy,Milan,45.4641943,9.1896346,Milano
78,Co-pace,Germany,Frankfurt,50.1106444,8.6820917,Frankfurt am Main
79,Co-pace,Germany,Frankfurt,50.1106444,8.6820917,Frankfurt am Main
80,CODE Entrepreneurship,Germany,Berlin,52.510885,13.3989367,Berlin
81,Commercialization Reactor,Latvia,Riga,56.9493977,24.1051846,Riga
82,Conector Startup Accelerator,Spain,Barcelona,41.3828939,2.1774322,Barcelona
83,Correos Labs,Spain,Madrid,40.4167047,-3.7035825,Madrid
84,Crealia,France,Paris,48.8534951,2.3483915,Paris
85,Cuatrecasas Acelera,Spain,Barcelona,41.3828939,2.1774322,Barcelona
86,Culinary Action!,Spain,San Sebastian,43.3224219,-1.9838889,San Sebastián/Donostia
87,Daftcode,Poland,Warsaw,52.2319581,21.0067249,Warszawa
88,Dangerous Venture Studio,Italy,Bologna,44.4938203,11.3426327,Bologna
89,Day One,Greece,Athens,37.9755648,23.7348324,Athina
90,Day One Partners - L'Accele…,France,Paris,48.8534951,2.3483915,Paris
91,DB Accelerator,Germany,Berlin,52.510885,13.3989367,Berlin
92,DeFi Alliance,Greece,Attica,37.7561803,23.6669006,Athina
93,Demium,Spain,Valencia,39.4697065,-0.3763353,Valencia
94,Demium Capital,Spain,Valencia,39.4697065,-0.3763353,Valencia
95,Desafia,Spain,Bilbao,43.2630018,-2.9350039,Bilbao
96,DesignFarmBerlin,Germany,Berlin,52.510885,13.3989367,Berlin
97,Digital Hub Region Bonn,Germany,Bonn,50.7352621,7.1024635,Bonn
98,Digital Magics,Italy,Milan,45.4641943,9.1896346,Milano
99,Discoveries,Portugal,Lisbon,38.7077507,-9.1365919,Lisboa
100,Disruption by Delta ventures,Portugal,Lisbon,38.7077507,-9.1365919,Lisboa
101,Djäkne Startup Studio,Sweden,Malmo,55.6052931,13.0001566,Malmö
102,Dock3 - The Startup Lab,Italy,Rome,41.8933203,12.4829321,Roma
103,Dogpatch Labs NDRC Accel…,Ireland,Dublin,53.3493795,-6.2605593,Dublin
104,Drukka,Hungary,Budapest,47.4978789,19.0402383,Budapest
106,E.ON :agile accelerator,Germany,Düsseldorf,51.2254018,6.7763137,Düsseldorf
107,EDP Starter,Portugal,Lisbon,38.7077507,-9.1365919,Lisboa
108,EduLAB EdTech Accellerator,Poland,Warsaw,52.2319581,21.0067249,Warszawa
110,EIT Digital Accelerator,Belgium,Brussels,50.8465573,4.351697,Mechelen
111,EIT FAN Helsinki (Food Acce…,Spain,Bilbao,43.2630018,-2.9350039,Bilbao
112,EIT Food,Belgium,Leuven,50.879202,4.7011675,Bruxelles/Brussel/Leuven
113,EIT Health,Germany,Munich,48.1371079,11.5753822,München
114,EIT Health e.V.,Germany,Munich,48.1371079,11.5753822,München
117,EIT Manufacturing,France,Palaiseau,48.7144587,2.2453842,Paris
118,EIT RawMaterials,Germany,Berlin,52.510885,13.3989367,Berlin
119,EIT Urban Mobility,Spain,Barcelona,41.3828939,2.1774322,Barcelona
120,Elevate AUBG,Bulgaria,Blagoevgrad,41.750287,23.4873411,Blagoevgrad
121,Elevator Lab Challenge,Austria,Vienna,48.2083537,16.3725042,Wien
122,Elevator Lab Challenge by R…,Austria,Vienna,48.2083537,16.3725042,Wien
123,Eleven Accelerator Venture …,Bulgaria,Sofia,42.6977028,23.3217359,Sofia
124,Elewit,Spain,Madrid,40.4167047,-3.7035825,Madrid
125,Emerge Accelerator,France,Paris,48.8534951,2.3483915,Paris
126,Endeavor Bulgaria,Bulgaria,Sofia,42.6977028,23.3217359,Sofia
127,ESA BIC AUSTRIA,Austria,Graz,47.0708678,15.4382786,Graz
128,ESA BIC Austria,Austria,Vienna,48.2083537,16.3725042,Wien
129,ESA BIC Baden-Württemberg,Germany,Kusterdingen,48.5027717,9.1137828,Tübingen
130,ESA BIC Barcelona,Spain,Barcelona,41.3828939,2.1774322,Barcelona
131,ESA BIC Bavaria,Germany,Gilching,48.1140289,11.2921549,München
133,ESA BIC DENMARK,Denmark,Lyngby-Taarbaek,55.7846379,12.5046096,København
134,ESA BIC ESTONIA,Estonia,Tartu,58.3801207,26.72245,Tartu
135,ESA BIC Estonia,Estonia,Tartu,58.3801207,26.72245,Tartu
136,ESA BIC Finland,Finland,Espoo,60.2049651,24.6559808,Helsinki/Helsingfors
137,ESA BIC Hessen,Germany,Darmstadt,49.8851869,8.6736295,Darmstadt
138,ESA BIC HUNGARY,Hungary,Budapest,47.4978789,19.0402383,Budapest
139,ESA BIC IRELAND,Ireland,Cork,51.8985136,-8.4726423,Cork
140,ESA BIC Madrid Region,Spain,Madrid,40.4167047,-3.7035825,Madrid
142,ESA BIC NORD FRANCE,France,Longpont-Sur-Orge,48.64262,2.2919546,Paris
143,ESA BIC Nord France,France,Longpont-Sur-Orge,48.64262,2.2919546,Paris
144,ESA BIC North Rhine-Westp…,Germany,Aachen,50.776351,6.083862,Aachen
145,ESA BIC PORTUGAL,Portugal,Coimbra,40.2111931,-8.4294632,Coimbra
146,ESA BIC SUD FRANCE,France,Toulouse,43.6044622,1.4442469,Toulouse
147,ESA BIC Sweden,Sweden,Luleå,65.5831187,22.1459535,Oulu/Uleåborg
148,ESA BIC Turin,Italy,Turin,45.0677551,7.6824892,Torino
149,ESA Space Solutions Belgium,Belgium,Kruibeke,51.1712275,4.3091107,Antwerpen
150,EuraTechnologies,France,Lille,50.6365654,3.0635282,Lille
151,European Data Incubator,Spain,Bilbao,43.2630018,-2.9350039,Bilbao
152,Eywa,Spain,San Sebastian,43.3224219,-1.9838889,San Sebastián/Donostia
153,Fábrica de Startups,Portugal,Lisbon,38.7077507,-9.1365919,Lisboa
154,FabriQ Milano,Italy,Milan,45.4641943,9.1896346,Milano
156,Fast Track Malmö,Sweden,Malmo,55.6052931,13.0001566,Malmö
157,Female Founders,Austria,Vienna,48.2083537,16.3725042,Wien
158,FI-C3,Belgium,Brussels,50.8465573,4.351697,Mechelen
159,FINODEX,Spain,Madrid,40.4167047,-3.7035825,Madrid
160,FIWARE,Germany,Berlin,52.510885,13.3989367,Berlin
161,Fondazione Filarete,Italy,Milan,45.4641943,9.1896346,Milano
162,Founder Institute Berlin,Germany,Berlin,52.510885,13.3989367,Berlin
163,Founders (Denmark),Denmark,Copenhagen,55.6867243,12.5700724,København
164,Founders Denmark,Denmark,Copenhagen,55.6867243,12.5700724,København
165,From Start-to-Table,Portugal,Lisbon,38.7077507,-9.1365919,Lisboa
166,FrontierCities2,Belgium,Ixelles,50.8331141,4.3668279,Mechelen
167,Fundacion Innovacion Banki…,Spain,Alcobendas,40.5400082,-3.6358494,Madrid
168,Funding for Innovators by U…,Germany,Munich,48.1371079,11.5753822,München
169,FundingBox,Spain,Madrid,40.4167047,-3.7035825,Madrid
170,Furthr (formerly Dublin Busi…,Ireland,Dublin,53.3493795,-6.2605593,Dublin
171,Future Champions Accelerat…,Germany,Duisburg,51.434999,6.759562,Krefeld
172,Future City Incubator,Germany,Berlin,52.510885,13.3989367,Berlin
173,G2 Startups,Italy,Milan,45.4641943,9.1896346,Milano
174,GELLIFY,Italy,Bologna,44.4938203,11.3426327,Bologna
175,Global Entrepreneurship Ce…,Germany,Meerbusch,51.2652237,6.6760958,Düsseldorf
176,Go Silicon Valley,Germany,Berlin,52.510885,13.3989367,Berlin
177,Greenpact,France,Lyon,45.7578137,4.8320114,Lyon
178,Grow F by Female Founders,Austria,Vienna,48.2083537,16.3725042,Wien
179,GU Ventures,Sweden,Gothenburg,57.7072326,11.9670171,Göteborg
180,Gumption,Belgium,Antwerp,51.2211097,4.3997081,Antwerpen
181,H-Farm,Italy,Roncade,45.6279075,12.3747797,Venezia
182,H+ Digital Health Innovatio…,Germany,Munich,48.1371079,11.5753822,München
184,healthstart madri+d,Spain,Madrid,40.4167047,-3.7035825,Madrid
185,HEC Incubator,France,Jouy-En-Josas,48.76464,2.1684529,Paris
186,Helios.hub,Germany,Berlin,52.510885,13.3989367,Berlin
187,High-Tech SeedLab,Germany,Berlin,52.510885,13.3989367,Berlin
189,Hub:raum,Germany,Berlin,52.510885,13.3989367,Berlin
190,HUB612,France,Lyon,45.7578137,4.8320114,Lyon
191,Huge Thing,Poland,Warsaw,52.2319581,21.0067249,Warszawa
192,Humboldt Innovation,Germany,Berlin,52.510885,13.3989367,Berlin
193,I3P - Innovative Companies …,Italy,Turin,45.0677551,7.6824892,Torino
194,Ideon Innovation,Sweden,Lund,55.7029296,13.1929449,Malmö
195,Imagination machine,France,Nantes,47.2186371,-1.5541362,Nantes
196,Imagine2030 Mobility Accel…,Germany,Berlin,52.510885,13.3989367,Berlin
197,imec.istart,Belgium,Ghent,51.0538286,3.7250121,Gent
198,IMPACT Accelerator,Spain,Santa María,42.3933908,-0.7426006,Zaragoza
199,IMPACT EdTech,Spain,Madrid,40.4167047,-3.7035825,Madrid
